No Prisms,Prisms,BNO,Prisms & BNO
6.44,9.59,3.15,-6.44
9.33,11.33,13.68,2.35
7.88,17.03,9.15,12.52
6.49,7.73,1.24,-6.49
3.38,9.67,6.29,-3.38
8.13,12.20,4.07,-8.13
2.97,10.79,7.82,-2.97
4.78,9.21,4.43,-4.78
8.46,15.18,6.72,-8.46
8.60,11.91,3.31,-8.60
7.94,14.68,6.74,-7.94
7.94,13.15,5.21,-7.94
10.27,7.08,-3.19,-10.27
13.21,29.33,16.12,-13.21
6.18,9.40,3.22,-6.18
9.94,9.44,-0.5,-9.94
11.53,14.13,2.6,-11.53
7.39,15.58,8.19,-7.39
7.35,17.60,10.25,-7.35
8.02,2.49,-5.53,-8.02
5.36,14.74,9.38,-5.36
9.49,11.19,1.7,-9.49
